#Time	June	Oct	Mar
52514	0.778188946	0.776666399	0.768793079
52526	0.778193656	0.776668111	0.76879445
52565	0.778200334	0.776674587	0.768800324
52635	0.778269719	0.776678149	0.768802801
52647	0.778270099	0.776678759	0.768826609
52713	0.778270117	0.776681504	0.768826959
52743	0.778270556	0.77668195	0.768828313
52963	0.778272172	0.77668206	0.768832502
52985	0.778279592	0.776683431	0.768877907
53173	0.778282085	0.776686515	0.768878767
53175	0.778298036	0.776687192	0.768880755
53195	0.778299193	0.776687264	0.768885202
53212	0.778427401	0.776691289	0.768900541
53222	0.778533579	0.776691558	0.76890372
53275	0.778542619	0.776696067	0.768908101
53345	0.778556885	0.776699292	0.768911138
53396	0.778557784	0.77669931	0.76895723
53423	0.778558294	0.776700578	0.769022308
53428	0.778631073	0.776709046	0.769034207
53446	0.778631463	0.776711957	0.769045558
53457	0.778632188	0.776714636	0.769053762
53462	0.778634875	0.776724613	0.769057318
53486	0.778642454	0.776725659	0.769058345
53492	0.778643881	0.776730745	0.769062867
53498	0.778643946	0.776731201	0.769065083
53506	0.778646486	0.776735434	0.769070911
53524	0.778646813	0.776742882	0.76907104
53531	0.778680004	0.776744015	0.769083473
53697	0.778681185	0.77676872	0.769086488
53734	0.778689639	0.77677283	0.769110257
53804	0.778691777	0.776775077	0.769284886
53827	0.778704405	0.776817533	0.769358491
53854	0.778718816	0.776876513	0.769360583
53937	0.778760178	0.776876966	0.769375653
53962	0.778761021	0.776878151	0.769388756
53963	0.77877439	0.776878526	0.769409305
53995	0.778778699	0.776880085	0.76941608
53997	0.778779371	0.776881942	0.769428005
54028	0.778785633	0.776882115	0.769436721
54039	0.778800224	0.776893793	0.769442227
54041	0.778818105	0.77689793	0.769472776
54056	0.778818129	0.77689866	0.769483408
54068	0.778828972	0.776899627	0.769488681
54071	0.778847883	0.777021984	0.76950054
54078	0.778859057	0.777027334	0.769505659
54095	0.778922651	0.777027451	0.769512424
54100	0.778931384	0.777028982	0.769530803
54112	0.77893151	0.777033153	0.769547337
54157	0.778953502	0.777034651	0.769547392
54172	0.778955187	0.777037309	0.769547443
54188	0.779013661	0.777038816	0.76955076
54193	0.779014149	0.777054444	0.769550861
54196	0.779015352	0.777072618	0.769552689
54211	0.779036722	0.777079563	0.769553197
54231	0.779036862	0.777081041	0.769564985
54244	0.779038954	0.777082466	0.769565095
54245	0.77903968	0.777085486	0.769565403
54268	0.779039973	0.777086986	0.769566458
54278	0.779040068	0.777088418	0.769586775
54279	0.779043989	0.777089962	0.769611728
54281	0.779051378	0.777113914	0.769619954
54317	0.779060366	0.777141347	0.769624677
54323	0.779061646	0.777141512	0.769629414
54342	0.779063305	0.77714187	0.769631493
54348	0.779065925	0.777148031	0.769631542
54373	0.779069594	0.777150111	0.769636195
54385	0.779070097	0.777162867	0.769636655
54464	0.77907017	0.777173508	0.769645606
54479	0.779072211	0.77717494	0.769645993
54487	0.779073485	0.777175617	0.76965481
54501	0.779105306	0.77717622	0.769664451
54569	0.779119657	0.777176334	0.76966465
54587	0.779128376	0.777177272	0.769674369
54757	0.779153694	0.777178086	0.769687354
54802	0.779156013	0.777198752	0.76970239
54832	0.779157348	0.77720174	0.769705834
54875	0.779160924	0.777202823	0.769706059
54918	0.779178118	0.777203616	0.769719618
54947	0.779180456	0.777203829	0.769722053
54967	0.779180477	0.777206958	0.769725496
54977	0.779191066	0.777240266	0.769729949
54982	0.779196435	0.777240982	0.769730368
55016	0.779196968	0.77724123	0.769730424
55054	0.77919886	0.777257159	0.769730483
55094	0.779202347	0.777257737	0.769731152
55127	0.779205952	0.777267085	0.76973147
55132	0.779206034	0.777269105	0.769732139
55133	0.779206333	0.777279882	0.769735396
55166	0.779209451	0.777282208	0.769737763
55182	0.779236173	0.777284345	0.769741145
55192	0.779240505	0.777285893	0.769751651
55207	0.77924098	0.777287228	0.769753187
55216	0.779245653	0.77728867	0.769757386
55239	0.779249942	0.777289188	0.769757496
55284	0.779250411	0.777301757	0.769757944
55303	0.779252352	0.777303085	0.769758156
55376	0.779255134	0.777303143	0.769770833
55467	0.779255309	0.777309557	0.769771164
55517	0.779267728	0.77730991	0.769771428
55522	0.779268062	0.777311398	0.76977536
55540	0.779281023	0.777321108	0.769776791
55544	0.779290987	0.777329616	0.769776943
55550	0.779297375	0.777350255	0.769790984
55553	0.779297551	0.77735096	0.769791653
55557	0.779298413	0.777351315	0.769795033
55567	0.779299883	0.777354896	0.769795091
55582	0.779300651	0.777355158	0.769798023
55583	0.779300924	0.777363991	0.769800313
55591	0.77930559	0.777366809	0.769801351
55592	0.77932555	0.777369313	0.769801767
55593	0.779328422	0.777369895	0.769811617
55607	0.779329237	0.777371334	0.769814008
55608	0.779329367	0.777372797	0.769844423
55609	0.779332533	0.777388543	0.769850013
55680	0.77933379	0.777390712	0.769850558
55685	0.779334586	0.777394194	0.769851379
55687	0.779350942	0.777424572	0.769853208
55698	0.779353463	0.777426313	0.769869451
55713	0.779363147	0.777432376	0.769870168
55728	0.779363461	0.777435256	0.769983404
55771	0.779365531	0.777439962	0.769983621
55798	0.779386785	0.777442932	0.769986669
55805	0.779502788	0.777449774	0.769997587
55823	0.779503929	0.777451744	0.770006671
55865	0.779509303	0.777476282	0.770016968
55888	0.779509573	0.777489632	0.770027958
