expAges,June 15 2013,October 15 2013,March 15 2014
468000,1.52787E-05,1.01197E-05,0
468900,1.52787E-05,1.51796E-05,2.02873E-05
469800,0,4.04789E-05,5.07182E-06
470700,5.09289E-06,2.02394E-05,5.07182E-06
471600,5.09289E-06,3.03591E-05,3.04309E-05
472500,5.09289E-06,0,5.07182E-06
473400,5.09289E-06,1.51796E-05,1.52155E-05
474300,1.01858E-05,2.02394E-05,0
475200,1.01858E-05,5.05986E-06,0
476100,5.09289E-06,1.51796E-05,3.04309E-05
477000,5.09289E-06,1.01197E-05,1.01436E-05
477900,1.01858E-05,2.52993E-05,5.07182E-06
478800,0,1.01197E-05,5.07182E-06
479700,0.000117137,1.51796E-05,3.04309E-05
480600,2.03716E-05,1.01197E-05,1.52155E-05
481500,6.62076E-05,1.01197E-05,1.52155E-05
482400,1.01858E-05,1.01197E-05,5.07182E-06
483300,5.09289E-06,0,1.01436E-05
484200,5.09289E-06,1.01197E-05,1.01436E-05
485100,5.09289E-06,3.03591E-05,5.07182E-06
486000,1.52787E-05,5.05986E-06,2.53591E-05
486900,3.05574E-05,0.000182155,5.07182E-06
487800,2.03716E-05,1.01197E-05,1.01436E-05
488700,2.03716E-05,2.02394E-05,2.02873E-05
489600,5.09289E-06,2.52993E-05,1.52155E-05
490500,1.52787E-05,0,5.07182E-06
491400,1.01858E-05,1.01197E-05,1.01436E-05
492300,2.03716E-05,1.51796E-05,1.52155E-05
493200,5.09289E-06,1.01197E-05,1.01436E-05
494100,0,5.05986E-06,0
495000,2.03716E-05,0,3.04309E-05
495900,2.03716E-05,5.05986E-06,1.52155E-05
496800,2.03716E-05,2.02394E-05,1.01436E-05
497700,1.52787E-05,1.01197E-05,2.53591E-05
498600,0,5.05986E-05,5.07182E-06
499500,2.54645E-05,1.01197E-05,1.52155E-05
500400,1.01858E-05,5.05986E-06,5.07182E-06
501300,1.01858E-05,1.01197E-05,2.02873E-05
502200,3.05574E-05,1.01197E-05,1.52155E-05
503100,5.09289E-06,0,1.52155E-05
